,Customer_Age,Emails_Opened,Emails_Clicked,Purchase_History,Time_Spent_On_Website,Days_Since_Last_Open,Customer_Engagement_Score,Opened_Previous_Emails,Clicked_Previous_Emails,Device_Type,Engagement_per_Email,EmailsClicked_TimeSpent,Click_Open_Ratio,Engagement_Efficiency,Purchase_per_Visit,Recency_Engagement,Email_Interaction_Rate,Loyalty_Score
0,39,7,1,546.1,3.3,23,53.3,0,1,1,7.614285714285714,3.3,0.14285714285714285,12.395348837209303,127.00000000000001,1225.8999999999999,0.125,0.5
1,33,6,1,1069.8,4.9,23,60.5,1,0,1,10.083333333333334,4.9,0.16666666666666666,10.254237288135593,181.32203389830508,1391.5,0.14285714285714285,0.5
2,41,5,1,1293.2,5.0,3,55.9,0,0,1,11.18,5.0,0.2,9.316666666666666,215.53333333333333,167.7,0.16666666666666666,0.0
3,50,3,1,2443.8,5.9,25,61.8,0,1,0,20.599999999999998,5.9,0.3333333333333333,8.956521739130434,354.17391304347825,1545.0,0.25,0.5
4,32,6,0,1778.3,2.3,40,66.8,0,0,1,11.133333333333333,0.0,0.0,20.242424242424242,538.8787878787879,2672.0,0.0,0.0
5,32,5,2,832.3,6.2,10,82.6,1,1,0,16.52,12.4,0.4,11.472222222222221,115.59722222222221,826.0,0.3333333333333333,1.0
6,50,6,2,1743.0,-0.4,45,65.2,1,0,0,10.866666666666667,-0.8,0.3333333333333333,108.66666666666667,2905.0,2934.0,0.2857142857142857,0.5
7,42,6,1,726.3,3.7,37,46.2,0,1,1,7.7,3.7,0.16666666666666666,9.829787234042554,154.531914893617,1709.4,0.14285714285714285,0.5
8,30,7,2,2041.3,4.0,18,87.1,0,1,1,12.442857142857141,8.0,0.2857142857142857,17.419999999999998,408.26,1567.8,0.25,0.5
9,40,3,2,1264.4,6.3,27,57.4,0,0,0,19.133333333333333,12.6,0.6666666666666666,7.863013698630137,173.20547945205482,1549.8,0.5,0.0
10,30,7,0,1453.2,5.0,53,69.1,0,1,0,9.87142857142857,0.0,0.0,11.516666666666666,242.20000000000002,3662.2999999999997,0.0,0.5
11,30,5,1,2162.9,2.2,41,76.7,1,0,0,15.34,2.2,0.2,23.96875,675.90625,3144.7000000000003,0.16666666666666666,0.5
12,37,9,1,856.4,3.0,30,73.0,0,1,1,8.11111111111111,3.0,0.1111111111111111,18.25,214.1,2190.0,0.1,0.5
13,15,3,1,801.4,5.4,26,86.4,1,0,0,28.8,5.4,0.3333333333333333,13.5,125.21874999999999,2246.4,0.25,0.5
14,17,8,2,1208.2,4.8,31,77.2,0,0,0,9.65,9.6,0.25,13.310344827586208,208.31034482758622,2393.2000000000003,0.2222222222222222,0.0
15,29,5,1,2019.2,3.8,22,57.1,1,0,1,11.42,3.8,0.2,11.895833333333334,420.6666666666667,1256.2,0.16666666666666666,0.5
16,24,3,1,740.3,4.0,0,102.7,0,1,0,34.233333333333334,4.0,0.3333333333333333,20.54,148.06,0.0,0.25,0.5
17,38,4,0,83.9,6.4,60,72.9,1,0,1,18.225,0.0,0.0,9.85135135135135,11.337837837837839,4374.0,0.0,0.5
18,25,4,2,1274.4,4.0,32,67.8,1,0,0,16.95,8.0,0.5,13.559999999999999,254.88000000000002,2169.6,0.4,0.5
19,20,5,0,1775.9,4.8,35,84.5,1,0,1,16.9,0.0,0.0,14.568965517241379,306.18965517241384,2957.5,0.0,0.5
20,49,6,2,2100.1,9.3,29,73.7,0,1,0,12.283333333333333,18.6,0.3333333333333333,7.155339805825243,203.89320388349512,2137.3,0.2857142857142857,0.5
21,32,3,2,1268.4,2.2,18,76.0,1,0,1,25.333333333333332,4.4,0.6666666666666666,23.75,396.375,1368.0,0.5,0.5
22,35,4,3,1294.3,1.3,27,107.4,0,1,1,26.85,3.9000000000000004,0.75,46.69565217391305,562.7391304347826,2899.8,0.6,0.5
23,20,9,0,2077.0,6.6,6,65.9,1,1,0,7.322222222222223,0.0,0.0,8.671052631578949,273.2894736842105,395.40000000000003,0.0,1.0
24,29,8,0,565.1,3.6,64,65.2,1,1,1,8.15,0.0,0.0,14.173913043478263,122.84782608695653,4172.8,0.0,1.0
25,36,5,2,1305.7,4.4,11,71.7,0,0,0,14.34,8.8,0.4,13.277777777777777,241.79629629629628,788.7,0.3333333333333333,0.0
26,23,5,3,1595.2,3.4,14,86.1,1,0,1,17.22,10.2,0.6,19.568181818181817,362.5454545454545,1205.3999999999999,0.5,0.5
27,38,5,3,1724.6,4.5,23,47.4,1,1,1,9.48,13.5,0.6,8.618181818181817,313.56363636363636,1090.2,0.5,1.0
28,28,6,2,1245.1,8.2,49,40.5,0,0,1,6.75,16.4,0.3333333333333333,4.4021739130434785,135.33695652173913,1984.5,0.2857142857142857,0.0
29,32,2,1,1517.2,6.6,30,61.2,1,0,1,30.6,6.6,0.5,8.05263157894737,199.63157894736844,1836.0,0.3333333333333333,0.5
30,28,4,2,255.8,6.7,11,45.5,1,1,1,11.375,13.4,0.5,5.909090909090909,33.22077922077922,500.5,0.4,1.0
31,53,1,1,1170.9,2.2,48,63.6,1,1,1,63.6,2.2,1.0,19.875,365.90625,3052.8,0.5,1.0
32,34,5,2,1726.8,2.7,40,77.5,1,0,1,15.5,5.4,0.4,20.945945945945944,466.70270270270265,3100.0,0.3333333333333333,0.5
34,43,4,3,1529.5,3.4,40,48.6,1,0,0,12.15,10.2,0.75,11.045454545454545,347.6136363636363,1944.0,0.6,0.5
36,37,2,2,1328.7,6.0,62,82.9,1,0,1,41.45,12.0,1.0,11.842857142857143,189.81428571428572,5139.8,0.6666666666666666,0.5
37,15,2,1,1585.2,4.6,19,44.6,1,0,1,22.3,4.6,0.5,7.964285714285715,283.0714285714286,847.4,0.3333333333333333,0.5
38,21,5,1,1018.6,5.0,54,82.3,1,1,0,16.46,5.0,0.2,13.716666666666667,169.76666666666668,4444.2,0.16666666666666666,1.0
39,36,7,0,1396.7,3.6,35,82.3,1,0,1,11.757142857142856,0.0,0.0,17.891304347826086,303.63043478260875,2880.5,0.0,0.5
40,42,8,1,1805.1,5.4,37,84.3,1,0,0,10.5375,5.4,0.125,13.171874999999998,282.04687499999994,3119.1,0.1111111111111111,0.5
41,36,4,1,1578.5,6.5,4,88.3,1,1,1,22.075,6.5,0.25,11.773333333333333,210.46666666666667,353.2,0.2,1.0
42,33,7,1,1206.7,1.8,27,103.0,0,0,1,14.714285714285714,1.8,0.14285714285714285,36.785714285714285,430.9642857142858,2781.0,0.125,0.0
43,31,4,2,1612.1,5.6,17,64.7,0,0,1,16.175,11.2,0.5,9.803030303030305,244.25757575757575,1099.9,0.4,0.0
44,20,4,1,1857.3,6.9,42,71.6,0,0,1,17.9,6.9,0.25,9.063291139240505,235.1012658227848,3007.2,0.2,0.0
45,27,6,3,475.0,4.2,46,63.8,0,1,1,10.633333333333333,12.600000000000001,0.5,12.269230769230768,91.34615384615384,2934.7999999999997,0.42857142857142855,0.5
46,30,6,2,2079.5,6.4,0,70.0,1,1,0,11.666666666666666,12.8,0.3333333333333333,9.45945945945946,281.0135135135135,0.0,0.2857142857142857,1.0
48,38,7,1,1712.7,4.8,46,49.8,0,1,0,7.114285714285714,4.8,0.14285714285714285,8.586206896551724,295.2931034482759,2290.7999999999997,0.125,0.5
49,17,7,2,2098.6,5.8,27,57.1,0,1,0,8.157142857142857,11.6,0.2857142857142857,8.397058823529413,308.61764705882354,1541.7,0.25,0.5
50,38,3,2,814.2,3.5,40,90.7,0,0,1,30.233333333333334,7.0,0.6666666666666666,20.155555555555555,180.93333333333334,3628.0,0.5,0.0
51,31,5,1,1145.3,5.4,35,85.3,1,0,1,17.06,5.4,0.2,13.328124999999998,178.95312499999997,2985.5,0.16666666666666666,0.5
52,28,5,1,1355.7,5.9,35,64.6,1,0,1,12.919999999999998,5.9,0.2,9.362318840579709,196.47826086956522,2261.0,0.16666666666666666,0.5
53,41,5,1,1108.1,5.4,25,82.8,0,1,0,16.56,5.4,0.2,12.937499999999998,173.14062499999997,2070.0,0.16666666666666666,0.5
54,45,3,0,2367.5,3.0,11,75.1,0,0,0,25.03333333333333,0.0,0.0,18.775,591.875,826.0999999999999,0.0,0.0
55,44,3,1,1071.6,5.4,13,92.5,0,1,0,30.833333333333332,5.4,0.3333333333333333,14.453125,167.43749999999997,1202.5,0.25,0.5
56,26,4,1,1222.2,7.9,40,71.1,0,0,1,17.775,7.9,0.25,7.988764044943819,137.32584269662922,2844.0,0.2,0.0
57,31,7,2,1602.2,5.9,30,85.4,0,1,0,12.200000000000001,11.8,0.2857142857142857,12.376811594202898,232.20289855072463,2562.0,0.25,0.5
58,38,6,2,898.9,6.9,27,109.6,1,0,0,18.266666666666666,13.8,0.3333333333333333,13.873417721518987,113.78481012658227,2959.2,0.2857142857142857,0.5
59,44,4,2,1302.2,4.5,23,79.0,0,0,0,19.75,9.0,0.5,14.363636363636363,236.76363636363638,1817.0,0.4,0.0
60,30,6,2,1658.7,6.5,25,70.7,1,1,1,11.783333333333333,13.0,0.3333333333333333,9.426666666666668,221.16,1767.5,0.2857142857142857,1.0
61,33,0,1,1333.6,5.6,45,80.8,0,0,0,inf,5.6,inf,12.242424242424242,202.06060606060606,3636.0,1.0,0.0
62,23,7,2,1453.3,3.1,24,64.5,0,0,0,9.214285714285714,6.2,0.2857142857142857,15.731707317073171,354.4634146341464,1548.0,0.25,0.0
63,23,1,1,1235.3,5.6,9,105.8,1,1,1,105.8,5.6,1.0,16.03030303030303,187.16666666666666,952.1999999999999,0.5,1.0
64,43,4,2,742.8,3.0,41,72.7,0,0,1,18.175,6.0,0.5,18.175,185.7,2980.7000000000003,0.4,0.0
65,48,2,1,1660.8,3.7,26,65.9,1,0,1,32.95,3.7,0.5,14.021276595744682,353.36170212765956,1713.4,0.3333333333333333,0.5
66,34,2,0,2377.5,5.4,30,57.5,1,1,0,28.75,0.0,0.0,8.984375,371.484375,1725.0,0.0,1.0
67,45,7,1,1509.2,5.6,54,86.5,0,1,0,12.357142857142858,5.6,0.14285714285714285,13.106060606060607,228.66666666666669,4671.0,0.125,0.5
68,38,4,3,1612.6,2.6,29,83.0,0,1,0,20.75,7.800000000000001,0.75,23.055555555555554,447.9444444444444,2407.0,0.6,0.5
69,28,5,2,1846.4,7.1,34,62.5,1,1,1,12.5,14.2,0.4,7.71604938271605,227.95061728395063,2125.0,0.3333333333333333,1.0
70,38,4,2,865.3,6.1,12,78.6,1,1,0,19.65,12.2,0.5,11.070422535211268,121.87323943661971,943.1999999999999,0.4,1.0
71,50,5,3,2351.3,3.6,26,47.4,0,0,1,9.48,10.8,0.6,10.304347826086957,511.15217391304355,1232.3999999999999,0.5,0.0
72,34,5,2,1601.2,1.9,39,72.8,1,1,1,14.559999999999999,3.8,0.4,25.103448275862068,552.1379310344828,2839.2,0.3333333333333333,1.0
73,50,2,2,2315.9,4.7,6,76.8,0,1,0,38.4,9.4,1.0,13.473684210526315,406.29824561403507,460.79999999999995,0.6666666666666666,0.5
75,43,4,1,2409.0,5.2,31,58.4,0,0,0,14.6,5.2,0.25,9.419354838709676,388.5483870967742,1810.3999999999999,0.2,0.0
76,35,1,2,1887.6,4.3,30,50.8,1,0,1,50.8,8.6,2.0,9.584905660377359,356.1509433962264,1524.0,1.0,0.5
77,32,4,3,1776.5,1.0,45,56.6,1,0,1,14.15,3.0,0.75,28.3,888.25,2547.0,0.6,0.5
78,35,8,1,1617.0,4.2,35,50.0,0,0,0,6.25,4.2,0.125,9.615384615384615,310.96153846153845,1750.0,0.1111111111111111,0.0
79,15,6,1,1375.7,4.4,52,90.0,1,1,1,15.0,4.4,0.16666666666666666,16.666666666666664,254.75925925925924,4680.0,0.14285714285714285,1.0
80,32,4,2,2100.3,6.3,15,93.2,1,0,0,23.3,12.6,0.5,12.767123287671234,287.7123287671233,1398.0,0.4,0.5
81,38,4,2,1570.2,3.6,32,74.8,1,1,0,18.7,7.2,0.5,16.26086956521739,341.34782608695656,2393.6,0.4,1.0
82,49,4,0,516.5,8.4,31,88.3,1,0,0,22.075,0.0,0.0,9.393617021276595,54.9468085106383,2737.2999999999997,0.0,0.5
83,29,9,0,941.4,1.2,13,72.0,1,1,1,8.0,0.0,0.0,32.72727272727273,427.9090909090909,936.0,0.0,1.0
84,26,5,1,1407.1,7.6,44,68.6,1,0,1,13.719999999999999,7.6,0.2,7.976744186046512,163.61627906976744,3018.3999999999996,0.16666666666666666,0.5
85,29,5,0,1655.0,4.6,64,65.0,1,1,0,13.0,0.0,0.0,11.607142857142858,295.5357142857143,4160.0,0.0,1.0
86,44,7,1,1471.7,6.7,29,65.3,0,1,0,9.328571428571427,6.7,0.14285714285714285,8.48051948051948,191.12987012987014,1893.6999999999998,0.125,0.5
87,38,5,1,2109.5,5.2,37,46.8,1,1,1,9.36,5.2,0.2,7.548387096774193,340.241935483871,1731.6,0.16666666666666666,1.0
88,29,4,1,524.4,7.3,31,74.0,1,1,0,18.5,7.3,0.25,8.915662650602409,63.180722891566255,2294.0,0.2,1.0
89,40,4,3,1571.8,4.2,19,69.4,0,1,1,17.35,12.600000000000001,0.75,13.346153846153847,302.2692307692308,1318.6000000000001,0.6,0.5
90,35,4,2,591.0,2.8,2,81.2,1,1,0,20.3,5.6,0.5,21.368421052631582,155.5263157894737,162.4,0.4,1.0
91,44,4,2,1879.9,7.8,19,71.4,1,1,1,17.85,15.6,0.5,8.113636363636363,213.625,1356.6000000000001,0.4,1.0
92,27,6,2,1452.8,4.8,9,67.6,0,1,0,11.266666666666666,9.6,0.3333333333333333,11.655172413793103,250.48275862068965,608.4,0.2857142857142857,0.5
93,31,5,0,1709.8,5.4,55,56.9,1,1,1,11.379999999999999,0.0,0.0,8.890625,267.15625,3129.5,0.0,1.0
94,31,6,3,1068.1,7.5,28,71.1,1,1,0,11.85,22.5,0.5,8.36470588235294,125.65882352941175,1990.7999999999997,0.42857142857142855,1.0
95,20,4,1,2139.7,2.9,24,81.1,0,0,1,20.275,2.9,0.25,20.794871794871796,548.6410256410256,1946.3999999999999,0.2,0.0
96,37,5,2,2020.9,6.2,43,52.8,0,1,1,10.559999999999999,12.4,0.4,7.333333333333333,280.68055555555554,2270.4,0.3333333333333333,0.5
97,37,1,0,1791.8,3.8,13,71.3,1,1,1,71.3,0.0,0.0,14.854166666666666,373.2916666666667,926.9,0.0,1.0
98,35,6,0,1435.2,4.7,18,73.5,1,0,1,12.25,0.0,0.0,12.894736842105262,251.78947368421052,1323.0,0.0,0.5
99,32,5,2,1789.9,5.1,31,59.2,0,1,0,11.84,10.2,0.4,9.704918032786887,293.42622950819674,1835.2,0.3333333333333333,0.5
100,20,6,2,1146.6,2.0,45,61.2,1,1,1,10.200000000000001,4.0,0.3333333333333333,20.400000000000002,382.2,2754.0,0.2857142857142857,1.0
101,30,0,1,1927.8,3.4,37,73.5,0,0,1,inf,3.4,inf,16.704545454545453,438.13636363636357,2719.5,1.0,0.0
102,31,9,1,2324.7,7.7,33,53.0,0,0,0,5.888888888888889,7.7,0.1111111111111111,6.0919540229885065,267.2068965517241,1749.0,0.1,0.0
103,26,4,3,2035.3,6.8,31,75.2,0,1,1,18.8,20.4,0.75,9.641025641025642,260.93589743589746,2331.2000000000003,0.6,0.5
104,33,7,0,1135.2,4.9,36,56.6,1,0,0,8.085714285714285,0.0,0.0,9.59322033898305,192.40677966101694,2037.6000000000001,0.0,0.5
105,39,2,3,1680.7,5.5,33,85.9,0,1,1,42.95,16.5,1.5,13.215384615384616,258.5692307692308,2834.7000000000003,1.0,0.5
106,53,6,1,853.4,4.4,14,105.1,0,1,1,17.516666666666666,4.4,0.16666666666666666,19.462962962962962,158.037037037037,1471.3999999999999,0.14285714285714285,0.5
107,36,2,2,1786.2,7.7,30,57.1,0,1,1,28.55,15.4,1.0,6.5632183908045985,205.31034482758622,1713.0,0.6666666666666666,0.5
108,37,3,1,1725.3,4.6,13,78.0,1,0,1,26.0,4.6,0.3333333333333333,13.928571428571429,308.0892857142857,1014.0,0.25,0.5
109,34,8,2,565.1,5.5,31,59.1,1,1,1,7.3875,11.0,0.25,9.092307692307692,86.93846153846154,1832.1000000000001,0.2222222222222222,1.0
110,15,4,1,919.1,7.3,22,85.6,1,1,1,21.4,7.3,0.25,10.313253012048191,110.73493975903614,1883.1999999999998,0.2,1.0
111,34,5,1,1358.4,3.4,68,51.0,0,0,0,10.2,3.4,0.2,11.59090909090909,308.72727272727275,3468.0,0.16666666666666666,0.0
112,35,6,2,1349.6,8.1,29,77.2,1,1,0,12.866666666666667,16.2,0.3333333333333333,8.483516483516484,148.3076923076923,2238.8,0.2857142857142857,1.0
113,59,5,0,895.3,1.9,8,56.9,1,1,1,11.379999999999999,0.0,0.0,19.620689655172413,308.7241379310345,455.2,0.0,1.0
114,33,5,2,1694.5,8.3,27,66.9,0,1,1,13.38,16.6,0.4,7.193548387096774,182.2043010752688,1806.3000000000002,0.3333333333333333,0.5
115,38,5,1,1625.7,4.3,37,54.5,0,1,0,10.9,4.3,0.2,10.283018867924529,306.7358490566038,2016.5,0.16666666666666666,0.5
116,34,9,1,1402.9,4.5,55,82.3,1,1,0,9.144444444444444,4.5,0.1111111111111111,14.963636363636363,255.0727272727273,4526.5,0.1,1.0
117,23,4,1,1122.1,1.2,21,57.4,1,1,1,14.35,1.2,0.25,26.090909090909086,510.04545454545445,1205.3999999999999,0.2,1.0
118,46,5,0,2024.4,4.1,6,78.3,0,0,1,15.66,0.0,0.0,15.352941176470589,396.9411764705883,469.79999999999995,0.0,0.0
119,42,7,1,2327.7,2.9,42,64.8,1,1,1,9.257142857142856,2.9,0.14285714285714285,16.615384615384617,596.8461538461538,2721.6,0.125,1.0
121,25,7,2,1193.9,4.7,23,72.2,0,0,1,10.314285714285715,9.4,0.2857142857142857,12.666666666666666,209.4561403508772,1660.6000000000001,0.25,0.0
122,49,6,1,1745.6,6.9,26,58.6,1,1,1,9.766666666666667,6.9,0.16666666666666666,7.417721518987341,220.96202531645568,1523.6000000000001,0.14285714285714285,1.0
123,20,2,1,1321.0,5.4,28,73.2,1,1,0,36.6,5.4,0.5,11.4375,206.40625,2049.6,0.3333333333333333,1.0
124,40,8,2,1430.3,5.6,40,93.0,1,0,1,11.625,11.2,0.25,14.090909090909092,216.71212121212122,3720.0,0.2222222222222222,0.5
125,56,2,2,1869.8,2.8,19,58.3,1,0,1,29.15,5.6,1.0,15.342105263157896,492.0526315789474,1107.7,0.6666666666666666,0.5
126,25,5,0,545.3,3.2,25,87.6,0,0,0,17.52,0.0,0.0,20.857142857142854,129.83333333333331,2190.0,0.0,0.0
127,29,3,3,2159.2,8.6,29,92.5,1,0,0,30.833333333333332,25.799999999999997,1.0,9.635416666666668,224.91666666666666,2682.5,0.75,0.5
128,35,4,2,1536.3,3.5,32,57.8,1,0,0,14.45,7.0,0.5,12.844444444444443,341.4,1849.6,0.4,0.5
129,29,5,2,1294.3,8.3,31,48.2,1,0,0,9.64,16.6,0.4,5.182795698924731,139.17204301075267,1494.2,0.3333333333333333,0.5
130,19,5,2,1455.4,4.5,36,74.5,0,0,1,14.9,9.0,0.4,13.545454545454545,264.6181818181818,2682.0,0.3333333333333333,0.0
131,35,5,2,1481.2,5.0,42,61.8,1,1,0,12.36,10.0,0.4,10.299999999999999,246.86666666666667,2595.6,0.3333333333333333,1.0
132,24,8,2,634.4,7.1,35,98.0,1,1,0,12.25,14.2,0.25,12.098765432098766,78.32098765432099,3430.0,0.2222222222222222,1.0
133,39,5,2,2247.5,7.5,36,70.5,0,1,1,14.1,15.0,0.4,8.294117647058824,264.4117647058824,2538.0,0.3333333333333333,0.5
134,25,4,1,1520.7,4.8,6,58.0,0,0,0,14.5,4.8,0.25,10.0,262.18965517241384,348.0,0.2,0.0
135,50,6,1,1721.5,4.2,30,52.8,0,1,0,8.799999999999999,4.2,0.16666666666666666,10.153846153846153,331.0576923076923,1584.0,0.14285714285714285,0.5
136,27,7,2,1975.8,4.9,37,86.3,0,0,1,12.328571428571427,9.8,0.2857142857142857,14.627118644067796,334.88135593220335,3193.1,0.25,0.0
137,31,2,3,989.4,5.7,40,61.4,0,1,1,30.7,17.1,1.5,9.164179104477611,147.67164179104478,2456.0,1.0,0.5
138,43,6,0,1736.7,6.8,19,70.7,1,1,1,11.783333333333333,0.0,0.0,9.064102564102564,222.65384615384616,1343.3,0.0,1.0
139,22,6,0,1366.2,5.0,20,84.3,0,1,1,14.049999999999999,0.0,0.0,14.049999999999999,227.70000000000002,1686.0,0.0,0.5
140,37,4,2,1923.4,6.2,21,62.7,0,1,1,15.675,12.4,0.5,8.708333333333334,267.1388888888889,1316.7,0.4,0.5
141,48,7,2,436.4,8.3,38,69.3,0,0,1,9.9,16.6,0.2857142857142857,7.451612903225805,46.924731182795696,2633.4,0.25,0.0
142,18,4,2,1450.5,5.8,45,69.8,0,0,1,17.45,11.6,0.5,10.26470588235294,213.30882352941177,3141.0,0.4,0.0
143,36,5,2,1198.6,5.6,23,80.2,0,1,0,16.04,11.2,0.4,12.151515151515152,181.6060606060606,1844.6000000000001,0.3333333333333333,0.5
144,37,4,1,1716.1,2.0,43,78.9,0,0,0,19.725,2.0,0.25,26.3,572.0333333333333,3392.7000000000003,0.2,0.0
145,42,5,3,1735.0,-0.3,31,66.7,0,0,1,13.34,-0.8999999999999999,0.6,95.28571428571429,2478.571428571429,2067.7000000000003,0.5,0.0
146,22,2,0,1146.2,5.8,28,71.0,0,1,0,35.5,0.0,0.0,10.441176470588236,168.55882352941177,1988.0,0.0,0.5
147,21,2,1,1143.9,4.8,26,64.4,1,0,1,32.2,4.8,0.5,11.103448275862071,197.2241379310345,1674.4,0.3333333333333333,0.5
148,40,8,1,1444.7,4.0,41,47.8,1,0,0,5.975,4.0,0.125,9.559999999999999,288.94,1959.8,0.1111111111111111,0.5
149,37,3,0,1051.7,5.5,34,73.9,1,0,1,24.633333333333336,0.0,0.0,11.36923076923077,161.8,2512.6000000000004,0.0,0.5
150,37,3,1,1921.0,4.9,64,98.4,0,0,0,32.800000000000004,4.9,0.3333333333333333,16.677966101694913,325.59322033898303,6297.6,0.25,0.0
151,38,0,3,1315.4,7.3,17,56.7,0,1,1,inf,21.9,inf,6.831325301204819,158.48192771084337,963.9000000000001,3.0,0.5
153,37,2,2,1312.6,3.5,22,56.9,1,0,1,28.45,7.0,1.0,12.644444444444444,291.68888888888887,1251.8,0.6666666666666666,0.5
154,37,8,0,980.7,7.0,16,80.9,0,1,0,10.1125,0.0,0.0,10.1125,122.5875,1294.4,0.0,0.5
155,27,7,1,684.4,4.6,29,76.7,0,1,0,10.957142857142857,4.6,0.14285714285714285,13.696428571428573,122.21428571428572,2224.3,0.125,0.5
156,53,3,1,881.3,6.1,32,67.6,0,1,1,22.53333333333333,6.1,0.3333333333333333,9.52112676056338,124.12676056338029,2163.2,0.25,0.5
158,23,6,3,2164.3,3.7,27,71.4,1,0,0,11.9,11.100000000000001,0.5,15.191489361702128,460.48936170212767,1927.8000000000002,0.42857142857142855,0.5
159,41,4,2,1656.6,5.2,13,46.5,0,1,0,11.625,10.4,0.5,7.5,267.19354838709677,604.5,0.4,0.5
160,25,0,0,1196.7,5.0,34,72.2,1,1,0,inf,0.0,,12.033333333333333,199.45000000000002,2454.8,0.0,1.0
161,42,9,2,1728.0,6.0,0,83.1,0,0,0,9.233333333333333,12.0,0.2222222222222222,11.87142857142857,246.85714285714286,0.0,0.2,0.0
162,46,2,2,1270.5,4.5,28,51.2,0,1,1,25.6,9.0,1.0,9.30909090909091,231.0,1433.6000000000001,0.6666666666666666,0.5
163,26,1,3,1152.7,1.3,30,47.0,1,0,1,47.0,3.9000000000000004,3.0,20.434782608695652,501.1739130434783,1410.0,1.5,0.5
164,44,7,3,922.8,4.1,41,93.7,1,1,0,13.385714285714286,12.299999999999999,0.42857142857142855,18.372549019607845,180.94117647058823,3841.7000000000003,0.375,1.0
165,39,9,0,624.1,6.6,44,60.8,1,0,1,6.7555555555555555,0.0,0.0,8.0,82.11842105263159,2675.2,0.0,0.5
166,43,7,1,1305.0,4.4,22,87.0,1,0,0,12.428571428571429,4.4,0.14285714285714285,16.11111111111111,241.66666666666666,1914.0,0.125,0.5
167,53,6,0,1579.0,4.5,27,67.7,0,0,1,11.283333333333333,0.0,0.0,12.30909090909091,287.09090909090907,1827.9,0.0,0.0
168,32,6,1,1451.7,7.0,18,67.6,0,0,0,11.266666666666666,7.0,0.16666666666666666,8.45,181.4625,1216.8,0.14285714285714285,0.0
169,27,6,2,1292.0,3.6,13,76.6,1,1,0,12.766666666666666,7.2,0.3333333333333333,16.652173913043477,280.8695652173913,995.8,0.2857142857142857,1.0
170,26,6,2,1027.1,1.9,34,56.7,1,0,0,9.450000000000001,3.8,0.3333333333333333,19.551724137931036,354.17241379310343,1927.8000000000002,0.2857142857142857,0.5
171,26,5,1,1804.1,4.7,10,72.0,0,1,0,14.4,4.7,0.2,12.631578947368421,316.50877192982455,720.0,0.16666666666666666,0.5
172,34,5,1,841.4,4.0,23,64.3,0,0,1,12.86,4.0,0.2,12.86,168.28,1478.8999999999999,0.16666666666666666,0.0
173,38,4,2,1888.0,3.1,15,50.2,0,0,1,12.55,6.2,0.5,12.243902439024392,460.48780487804885,753.0,0.4,0.0
174,37,3,1,998.9,4.6,38,75.1,0,1,1,25.03333333333333,4.6,0.3333333333333333,13.410714285714285,178.375,2853.7999999999997,0.25,0.5
176,35,1,0,766.6,5.0,10,67.6,1,1,1,67.6,0.0,0.0,11.266666666666666,127.76666666666667,676.0,0.0,1.0
177,49,4,2,1249.3,5.6,2,51.8,1,0,1,12.95,11.2,0.5,7.848484848484849,189.28787878787878,103.6,0.4,0.5
180,41,5,1,1989.2,5.6,33,84.5,1,0,0,16.9,5.6,0.2,12.803030303030305,301.39393939393943,2788.5,0.16666666666666666,0.5
181,26,7,1,1761.1,4.0,23,65.4,1,1,1,9.342857142857143,4.0,0.14285714285714285,13.080000000000002,352.21999999999997,1504.2,0.125,1.0
182,24,6,1,948.2,3.3,26,44.1,1,0,1,7.3500000000000005,3.3,0.16666666666666666,10.255813953488373,220.51162790697677,1146.6000000000001,0.14285714285714285,0.5
